id	name	address	taxno	tel	fax	contact	email	companyType	country	code	creator	updator	createdDate	lastUpdateDate
1	CÔNG TY TNHH AGILITY	"364 C?ng Hòa, Ph??ng 13, Qu?n Tân Bình, Tp.HCM"				"364 C?ng Hòa, Ph??ng 13, Qu?n Tân Bình, Tp.HCM"	empty@email.com	63	66	AGILI			3/13/2015 0:00	3/13/2015 0:00
2	CÔNG TY TNHH AGILITY LOGISTICS VI?T NAM	"364 ???ng C?ng Hòa, Ph??ng 13, Qu?n Tân Bình, Tp.HCM"				"364 ???ng C?ng Hòa, Ph??ng 13, Qu?n Tân Bình, Tp.HCM"	empty@email.com	63	66	AGILOG			3/13/2015 0:00	3/13/2015 0:00
3	CÔNG TY TNHH BA HÁT	"?p 1A, Xã An Phú, Th? Xã Thu?n An, T?nh Bình D??ng"				"?p 1A, Xã An Phú, Th? Xã Thu?n An, T?nh Bình D??ng"	empty@email.com	63	66	BAHAT			3/13/2015 0:00	3/13/2015 0:00
4	CÔNG TY TNHH SX - XK HÀNG TCMN & TM B?C NINH	"Nhà s? 5, ngách 43/98, ???ng C? Nhu?, Ph??ng C? Nhu? 2, Qu?n B?c T? Liêm, TP Hà N?i"				"Nhà s? 5, ngách 43/98, ???ng C? Nhu?, Ph??ng C? Nhu? 2, Qu?n B?c T? Liêm, TP Hà N?i"	empty@email.com	63	66	BCNINH			3/13/2015 0:00	3/13/2015 0:00
5	CÔNG TY C? PH?N ??U T? C?NG CÁI LÂN	"S? 1 ???ng Cái Lân, Tp H? Long, T?nh Qu?ng Ninh"				"S? 1 ???ng Cái Lân, Tp H? Long, T?nh Qu?ng Ninh"	empty@email.com	63	66	CAILAN			3/13/2015 0:00	3/13/2015 0:00
6	CÔNG TY TNHH TRE N?A CU?N M? NGH? CÁT ??NG	"Yên Ti?n, Ý Yên, Nam ??nh"				"Yên Ti?n, Ý Yên, Nam ??nh"	empty@email.com	63	66	CDANG			3/13/2015 0:00	3/13/2015 0:00
7	CN CTY CP V?N TAI VÀ TI?P V?N CHÂU Á THÁI BÌNH D??NG (TP HN)	"07 Nguy?n Hu?, Ph??ng B?n Nghé, Qu?n 1, TP HCM"				"07 Nguy?n Hu?, Ph??ng B?n Nghé, Qu?n 1, TP HCM"	empty@email.com	63	66	CATBD			3/13/2015 0:00	3/13/2015 0:00
8	CÔNG TY TNHH CÔNG NGHI?P S?T THÉP CONNEX-AIKO	"Lô C-8D-CN, Khu Công Nghi?p M? Ph??c 3, Huy?n B?n Cát, T?nh Bình D??ng"				"Lô C-8D-CN, Khu Công Nghi?p M? Ph??c 3, Huy?n B?n Cát, T?nh Bình D??ng"	empty@email.com	63	66	CONNEX			3/13/2015 0:00	3/13/2015 0:00
9	CÔNG TY TNHH C?A ??	"212 Nguy?n S?n, Ph??ng B? ??, Qu?n Long Biên, Hà N?i"				"212 Nguy?n S?n, Ph??ng B? ??, Qu?n Long Biên, Hà N?i"	empty@email.com	63	66	CUADO			3/13/2015 0:00	3/13/2015 0:00
10	CÔNG TY TNHH M?T THÀNH VIÊN DADU VI?T NAM	"Lô s? 14-16-18-20, ???ng s? 3, KCN Tân ??c, Xã ??c Hòa H?, Huy?n ??c Hóa, T?nh Long An"				"Lô s? 14-16-18-20, ???ng s? 3, KCN Tân ??c, Xã ??c Hòa H?, Huy?n ??c Hóa, T?nh Long An"	empty@email.com	63	66	DADUVN			3/13/2015 0:00	3/13/2015 0:00
