id,name,address,taxno,tel,fax,contact,email,companyType,country,code,creator,updator,createdDate,lastUpdateDate
1,CÔNG TY TNHH AGILITY,"364 Cộng Hòa, Phường 13, Quận Tân Bình, Tp.HCM",,,,"364 Cộng Hòa, Phường 13, Quận Tân Bình, Tp.HCM",empty@email.com,63,66,AGILITY,,,3/13/2015 0:00,3/13/2015 0:00
2,CÔNG TY TNHH AGILITY LOGISTICS VIỆT NAM,"364 Đường Cộng Hòa, Phường 13, Quận Tân Bình, Tp.HCM",,,,"364 Đường Cộng Hòa, Phường 13, Quận Tân Bình, Tp.HCM",empty@email.com,63,66,AGILITY LOGISTIC,,,3/13/2015 0:00,3/13/2015 0:00
3,CÔNG TY TNHH NUÔI TRỒNG THUỶ SẢN APOLLO,"3 - 1B Lô H14, Đường P, Khu Phố Mỹ Cảnh, Trung tâm đô thị mới Nam Sài Gòn, P. Tân Phong, Q. 7, TP HCM.",,,,"3 - 1B Lô H14, Đường P, Khu Phố Mỹ Cảnh, Trung tâm đô thị mới Nam Sài Gòn, P. Tân Phong, Q. 7, TP HCM.",empty@email.com,63,66,APOLLO,,,3/13/2015 0:00,3/13/2015 0:00
4,CÔNG TY TNHH THƯƠNG MẠI ARTREND ( VIỆT NAM ),"357 / 31 / 25 Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, TP HCM",,,,"357 / 31 / 25 Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, TP HCM",empty@email.com,63,66,ARTREND,,,3/13/2015 0:00,3/13/2015 0:00
5,CÔNG TY TNHH BA HÁT,"Ấp 1A, Xã An Phú, Thị Xã Thuận An, Tỉnh Bình Dương",,,,"Ấp 1A, Xã An Phú, Thị Xã Thuận An, Tỉnh Bình Dương",empty@email.com,63,66,BA HAT,,,3/13/2015 0:00,3/13/2015 0:00
6,CÔNG TY TNHH SX - XK HÀNG TCMN & TM BẮC NINH,"Nhà số 5, ngách 43/98, đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, TP Hà Nội",,,,"Nhà số 5, ngách 43/98, đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, TP Hà Nội",empty@email.com,63,66,BACNINH,,,3/13/2015 0:00,3/13/2015 0:00
7,CÔNG TY CỔ PHẦN ĐẦU TƯ CẢNG CÁI LÂN,"Số 1 đường Cái Lân, Tp Hạ Long, Tỉnh Quảng Ninh",,,,"Số 1 đường Cái Lân, Tp Hạ Long, Tỉnh Quảng Ninh",empty@email.com,63,66,CANGCAILAN,,,3/13/2015 0:00,3/13/2015 0:00
8,CÔNG TY TNHH TRE NỨA CUỐN MỸ NGHỆ CÁT ĐẰNG,"Yên Tiến, Ý Yên, Nam Định",,,,"Yên Tiến, Ý Yên, Nam Định",empty@email.com,63,66,CATDANG,,,3/13/2015 0:00,3/13/2015 0:00
9,CN CTY CP VẬN ATRI VÀ TIẾP VẬN CHÂU Á THÁI BÌNH DƯƠNG (TP HN),"07 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP HCM",,,,"07 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP HCM",empty@email.com,63,66,CHAU A TBD,,,3/13/2015 0:00,3/13/2015 0:00
10,CÔNG TY TNHH CÔNG NGHIỆP SẮT THÉP CONNEX-AIKO,"Lô C-8D-CN, Khu Công Nghiệp Mỹ Phước 3, Huyện Bến Cát, Tỉnh Bình Dương",,,,"Lô C-8D-CN, Khu Công Nghiệp Mỹ Phước 3, Huyện Bến Cát, Tỉnh Bình Dương",empty@email.com,63,66,CONNEX-AIKO,,,3/13/2015 0:00,3/13/2015 0:00
11,CÔNG TY TNHH CỬA ĐỎ,"212 Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",,,,"212 Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",empty@email.com,63,66,CUADO,,,3/13/2015 0:00,3/13/2015 0:00
12,CÔNG TY TNHH MỘT THÀNH VIÊN DADU VIỆT NAM,"Lô số 14-16-18-20, Đường số 3, KCN Tân Đức, Xã Đức Hòa Hạ, Huyện Đức Hóa, Tỉnh Long An",,,,"Lô số 14-16-18-20, Đường số 3, KCN Tân Đức, Xã Đức Hòa Hạ, Huyện Đức Hóa, Tỉnh Long An",empty@email.com,63,66,DADU,,,3/13/2015 0:00,3/13/2015 0:00
13,CÔNG TY TNHH MTV TM-DV ĐÀI BẮC,"Số 31, đường số 6, tổ 8, Ấp Bàu Sim, ã Tân Thông Hội, Huyện Củ Chi, TP HCM",,,,"Số 31, đường số 6, tổ 8, Ấp Bàu Sim, ã Tân Thông Hội, Huyện Củ Chi, TP HCM",empty@email.com,63,66,DAIBAC,,,3/13/2015 0:00,3/13/2015 0:00
14,CÔNG TY CỔ PHẦN ĐẠI ĐỒNG TIẾN,"216 Tân Thành, P. 15, Q. 5, TP HCM.",,,,"216 Tân Thành, P. 15, Q. 5, TP HCM.",empty@email.com,63,66,DAIDONGTIEN,,,3/13/2015 0:00,3/13/2015 0:00
15,CÔNG TY TNHH ĐẠI TÂN,"Khu A, Lô G.27C - 28B, đường số 8, KCX Tân Thuận, P. Tân Thuận Đông, Quận 7, TP HCM",,,,"Khu A, Lô G.27C - 28B, đường số 8, KCX Tân Thuận, P. Tân Thuận Đông, Quận 7, TP HCM",empty@email.com,63,66,DAITAN,,,3/13/2015 0:00,3/13/2015 0:00
16,CTY TNHH ĐẠI THÀNH,"Ấp Đông Hòa, Xã Song Thuận, Huyện Châu Thành, Tỉnh Tiền Giang",,,,"Ấp Đông Hòa, Xã Song Thuận, Huyện Châu Thành, Tỉnh Tiền Giang",empty@email.com,63,66,DAITHANH,,,3/13/2015 0:00,3/13/2015 0:00
