id,name,address,taxno,tel,fax,contact,email,companyType,country,code,creator,updator,createdDate,lastUpdateDate
1,DNTN MÁY VÀ THIẾT BỊ Á CHÂU,"55/11B Tổ 55, khu phố 4, P. Tân Chánh Hiệp, Quận 12, Tp.HCM",302090088,,,,empty@email.com,63,66,ACHAU-DNTN,,,3/13/2015 0:00,3/13/2015 0:00
2,CÔNG TY TNHH AGILITY LOGISTICS VIỆT NAM,"364 Cộng Hòa, Phường 13, Quận Tân Bình, Tp.HCM",303588782,,,,empty@email.com,63,66,AGILITY,,,3/13/2015 0:00,3/13/2015 0:00
3,CÔNG TY TNHH AGILITY,"Toà nhà ETOWN, 364 Cộng Hòa, Phường 13, Quận Tân Bình, Tp.HCM",305244593,,,,empty@email.com,63,66,AGILITY 1,,,3/13/2015 0:00,3/13/2015 0:00
4,CÔNG TY CỔ PHẦN THỰC PHẨM AGREX SAIGON,"Lô H.01 - H.02, Đường Trung Tâm, Khu công nghiệp Long Hậu, Xã Long hậu, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",1100928386,,,,empty@email.com,63,66,AGREX SAIGON,,,3/13/2015 0:00,3/13/2015 0:00
5,CÔNG TY TNHH AKITA OIL SEAL VIỆT NAM,"Lô A4, KCN Nomura Hải Phòng, An Dương, Hải Phòng",200653158,,,,empty@email.com,63,66,AKITA,,,3/13/2015 0:00,3/13/2015 0:00
6,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ ÁNH DƯƠNG,"78/9A Ba Vân, Phường 14, Quận Tân Bình, TP HCM",311112122,,,,empty@email.com,63,66,ANH DUONG,,,3/13/2015 0:00,3/13/2015 0:00
7,CÔNG TY TNHH MTV THƯƠNG MẠI KỸ THUẬT ĐIỆN ÁNH SÁNG VIỆT,"216 Âu Dương Lân, Phường 3, Quận 8, TP HCM.",304886686,,,,empty@email.com,63,66,ANH SANG VIET,,,3/13/2015 0:00,3/13/2015 0:00
8,CÔNG TY TNHH VIỄN THÔNG ANH KHÔI,"42 Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, TP HCM",310964854,,,,empty@email.com,63,66,ANHKHOI,,,3/13/2015 0:00,3/13/2015 0:00
9,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THUỶ SẢN AN MỸ,Lô A2 - A3 Cụm CN Phú Hoà - Thị Trấn  Phú Hoà - Huyện  Thoại Sơn - An Giang,1600903460,,,,empty@email.com,63,66,ANMY,,,3/13/2015 0:00,3/13/2015 0:00
10,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ VẬN TẢI AN THỊNH,"Số 4 Chợ Lũng, P. Đằng Hải, Q. Hải An, Hải Phòng",201166855,,,,empty@email.com,63,66,ANTHINH,,,3/13/2015 0:00,3/13/2015 0:00
11,CÔNG TY TNHH NUÔI TRỒNG THUỶ SẢN APOLLO,"3 - 1B Lô H14, Đường P, Khu Phố Mỹ Cảnh, Trung Tâm Đô Thị mới Nam Sài Gòn, Phường Tân Phong, Quận 7, TP HCM.",311506663,,,,empty@email.com,63,66,APOLLO,,,3/13/2015 0:00,3/13/2015 0:00
12,CÔNG TY TNHH THƯƠNG MẠI ARTREND ( VIỆT NAM ),"357 / 31 / 25 Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, TP HCM",311771767,,,,empty@email.com,63,66,ARTREND,,,3/13/2015 0:00,3/13/2015 0:00
13,CÔNG TY TNHH BA HÁT,"Ấp 1A, Xã An Phú, Thị Xã Thuận An, Tỉnh Bình Dương",3700669948,,,,empty@email.com,63,66,BA HAT,,,3/13/2015 0:00,3/13/2015 0:00
14,CÔNG TY TNHH MTV TM VÀ DV VẬN TẢI BẮC BÌNH,"24K/3B KP Bình Đáng, P. Bình Hòa, TX Thuận An, Bình Dương",3702151781, 072 3503 999,072 3866 999,,empty@email.com,63,66,BACBINH,,,3/13/2015 0:00,3/13/2015 0:00
15,CÔNG TY TNHH SX - XK HÀNG TCMN & TM BẮC NINH,"Xóm 8B, xã Cổ Nhuế, Huyện Từ Liêm, Hà Nội",100968940,,,,empty@email.com,63,66,BACNINH,,,3/13/2015 0:00,3/13/2015 0:00
16,CÔNG TY TNHH BÌNH AN,"Đường 10, Thượng Thôn, Xã Yên Tiến, Huyện Ý Yên, Nam Định",600341315,,,,empty@email.com,63,66,BINHAN,,,3/13/2015 0:00,3/13/2015 0:00
17,CÔNG TY TNHH KỸ NGHỆ BÌNH NGUYÊN,"838 Bạch Đằng, Hai Bà Trưng, Hà Nội",101072089,,,,empty@email.com,63,66,BINHNGUYEN,,,3/13/2015 0:00,3/13/2015 0:00
18,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BMT,"36 Võ Văn Tần, Phường 6, Quận 3, Tp.HCM",301449021,,,,empty@email.com,63,66,BMT,,,3/13/2015 0:00,3/13/2015 0:00
19,CÔNG TY TNHH CÁNH ĐỎ,"65 Lê Trung Nghĩa, Phường 15, Quận Tân Bình, Tp.HCM",309718163,,,,empty@email.com,63,66,CANHDO,,,3/13/2015 0:00,3/13/2015 0:00
20,CÔNG TY TNHH TRE NỨA CUỐN MỸ NGHỆ CÁT ĐẰNG,"Yên Tiến, Ý Yên, Nam Định",600518587,,,,empty@email.com,63,66,CATDANG,,,3/13/2015 0:00,3/13/2015 0:00
21,CÔNG TY CP ĐẦU TƯ VÀ SẢN XUẤT VIỆT CNC,"số 16, Ngách 10/11 Hoàng Ngọc Phách, Đống Đa, Hà Nội",104071319,,,,empty@email.com,63,66,CNC,,,3/13/2015 0:00,3/13/2015 0:00
22,DNTN CÔNG BÌNH,"Ấp Bình Hòa, Xã Bình Tịnh, Huyện Tân Trụ, Tỉnh Long An",1100745375,,,,empty@email.com,63,66,CONGBINH,,,3/13/2015 0:00,3/13/2015 0:00
23,CÔNG TY TNHH CÔNG NGHIỆP SẮT THÉP CONNEX-AIKO,"Lô C-8D-CN, Khu Công Nghiệp Mỹ Phước 3, Huyện Bến Cát, Tỉnh Bình Dương",3700806270,,,,empty@email.com,63,66,CONNEX,,,3/13/2015 0:00,3/13/2015 0:00
24,CÔNG TY CỔ PHẦN CONTINENTIAL LOGISTICS,"1/26 Thăng Long, Phường 4, Quận Tân Bình, TP.HCM",312153097,,,,empty@email.com,63,66,CONTINENTIAL LOGISTICS,,,3/13/2015 0:00,3/13/2015 0:00
25,CÔNG TY TNHH COSTAR VIỆT NAM,"588/72 Tỉnh Lộ 10, P. Bình Trị Đông, Q. Bình Tân, Tp HCM.",311933545,,,,empty@email.com,63,66,COSTAR,,,3/13/2015 0:00,3/13/2015 0:00
26,CROWN VAN LINE,"4-4FL, No. 165 Sec. 5, MIN SHENG E.RD, TAIPEI, TAIWAN",,,,,empty@email.com,63,66,CROWN VAN LINE,,,3/13/2015 0:00,3/13/2015 0:00
27,CÔNG TY TNHH CỬA ĐỎ,"Số 212 Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, TP Hà Nội",101455557,,,,empty@email.com,63,66,CUADO,,,3/13/2015 0:00,3/13/2015 0:00
28,CÔNG TY TNHH MỘT THÀNH VIÊN DADU VIỆT NAM,"Lô số 14-16-18-20, Đường số 3, KCN Tân Đức, Xã Đức Hòa Hạ, Huyện Đức Hòa, Tỉnh Long An",1101723536,,,,empty@email.com,63,66,DADU,,,3/13/2015 0:00,3/13/2015 0:00
29,CÔNG TY TNHH MTV TM-DV ĐÀI BẮC,"Số 31, đường số 6, tổ 8, Ấp Bàu Sim, ã Tân Thông Hội, Huyện Củ Chi, TP HCM",308617099,,,,empty@email.com,63,66,DAIBAC,,,3/13/2015 0:00,3/13/2015 0:00
30,CÔNG TY CỔ PHẦN ĐẠI ĐỒNG TIẾN,"216 Tân Thành, Phường 15, Quận 5, TP HCM.",304690411,,,,empty@email.com,63,66,DAIDONGTIEN,,,3/13/2015 0:00,3/13/2015 0:00
31,CN CÔNG TY CỔ PHẦN CƠ KHÍ VẬN TẢI THƯƠNG MẠI ĐẠI HƯNG TẠI BÌNH DƯƠNG,"Tổ 12, KP Ngãi Thắng, P. Bình Thắng, TX. Dĩ An, Tỉnh Bình Dương",0200426067-005,,,,empty@email.com,63,66,DAIHUNG,,,3/13/2015 0:00,3/13/2015 0:00
32,CÔNG TY TNHH TM DV XUẤT NHẬP KHẨU ĐẠI KHANG,"122/15/36 Bùi Tư Toàn, KP 4, P. An Lạc, Quận Bình Tân",312149608,,,,empty@email.com,63,66,DAIKHANG,,,3/13/2015 0:00,3/13/2015 0:00
