id,name,code,info,address,contactName,type,taxNo,,
1,An Hòa,ANHOA,,"Địa chỉ: A26/17B Ấp 1, Xã Bình Hưng, Huyện Bình Chánh, Tp.HCM",0915640077 Mr  Hùng,0,,,
2,AN LONG TRƯỜNG,TAI_ALT,CTY CP AN LONG TRƯỜNG MST 03010271497,,0912.146839 Mr Hòa,0,,,
3,ANH LINH,TAI_ALINH,XE MỒ CÔI - ANH  LINH,,,0,,,
4,ANH NAM,TAI_ANAM,XE MỒ CÔI - ANH NAM,,0919518468 Mr Nam,0,,,
5,ANH VƯƠNG,TAI_AVUONG,XE MỒ CÔI - ANH VUONG,,0917192206 Mr Vương,0,,,
6,BÌNH MINH,BINHMINH,CTY CP VẬT TƯ CÔNG NGHIỆP BÌNH MINH MST 0200763993,"Số 414 Lê Thánh Tông,P. Máy Chai,Q.Ngô Quyền,TP Hải Phòng,VN",0904 204 234 Mr Thao,0,,,
7,CẨM HẠNH,CAMHANH,DOANH NGHIỆP TƯ NHÂN CẨM HẠNH MST 3900313219, 998 Ấp Tường Huệ xã Trường Tây Huyện Hòa Thành tỉnh Tây Ninh,,0,,,
8,ĐÔNG NGÀN,DONGNGAN,CTY TNHH SX TM DV ĐÔNG NGÀN MST 0303417956,"51 Ngô Gia Tự, P.2, Q.10, TP. HCM",0906.369.499 Mr Thương,0,,,
9,ĐÔNG TÚ,DONGTU,CTY TNHH - VT ĐÔNG TÚ MST 0307412162,"672 Điện Biên Phủ, P.22, Q. Bình Thạnh, TP.HCM",0909.919.667 Mr Đông,0,,,
10,ĐỨC TRUYỀN,DUCTRUYEN,CTY TNHH TM DV VẬN TẢI ĐỨC TRUYỀN MST 0311812124,"13 Hồ Bá Phấn, KP4, P. Phước Long A, Q.9, TP. HCM",0938.29.57.67 Mrs Thủy,0,,,
11,HOÀNG KHANH,HOANGKHANH,,,0918.369.159 Mr Hoàng,0,,,
12,HỒNG TOÁN,HONGTOAN,CTY TNHH TM DV VẬN TẢI HỒNG TOÁN MST 0305605264,"15 đường số 6A,  Phường phước bình, Q.9, TP. HCM",0908.21.21.36 Mr Toán,0,,,
13,ITL,ITL,CTY CP GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN MST 0301909173,"52-54-56 Trường Sơn, P.2, Q. Bình Thạnh, TP. HCM",0984.70.14.15 Mr Toàn,0,,,
14,KIEN CUONG,CAU_KIENCUONG,,,0908200200 Mr Cường,0,,,
15,LÂM VINH,LAMVINH,CTY TNHH VẬN TẢI LÂM VINH MST 0909988360," 448B Nguyễn Tất Thành, Phường 14, Quận 4, Tp. HCM",0903728551 Mr Vinh,0,,,
16,LONG PHÚ,LONGPHU,CTY TNHH TM DV VẬN TẢI LONG PHÚ MST 0311947409,,0914.052.488 Mr Nhật,0,,,
17,MINH NGHĨA,CAU_MINHNGHIA,,,0903.807.491Mr Nghĩa,0,,,
18,NAM LONG,NAMLONG,CTY TNHH GIẢI PHÁP VẬN CHUYỂN NAM LONG MST 0311857799,"Phòng 301, Số 33 Lê Quốc Hưng, P.12, Q.4, TP. HCM",0914.722.246 Mr Sơn,0,,,
19,NGỌC BÁU,NGOCBAU,,,0903 704 837 Mr Báu,0,,,
